controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
PPO AGENT (trained RL),76.6,0.0,0.113,7231,940,60,470,0
PPO AGENT (trained RL),73.5,0.0,0.11,5000,940,60,470,0
PPO AGENT (trained RL),72.1,0.0,0.11,5000,940,60,470,0
PPO AGENT (trained RL),73.7,0.0,0.212,5000,2620,180,1310,0
PPO AGENT (trained RL),72.3,0.0,0.424,5000,4300,300,4300,0
PPO AGENT (trained RL),76.8,0.0,0.48,5000,5980,420,2990,0
PPO AGENT (trained RL),88.7,0.0,0.489,5000,7660,540,3830,0
PPO AGENT (trained RL),94.6,0.0,0.493,5000,9200,660,4670,0
PPO AGENT (trained RL),103.6,0.0,0.343,5000,5370,780,5370,0
PPO AGENT (trained RL),120.1,0.0,0.226,5000,5930,840,5930,0
PPO AGENT (trained RL),133.9,0.0,0.233,5000,6490,920,6490,0
PPO AGENT (trained RL),148.2,0.0,0.211,5000,6770,960,6770,0
PPO AGENT (trained RL),167.7,0.0,0.162,5000,7050,1000,7050,0
PPO AGENT (trained RL),179.8,0.0,0.166,5000,7050,1000,0,0
BLIND (no control),192.7,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),196.2,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),206.7,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),208.2,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),202.7,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),215.4,0.0,0.514,10000000,21138,1000,14092,0
BLIND (no control),200.9,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),209.8,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),206.5,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),198.0,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),199.7,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),208.0,0.0,0.514,10000000,21138,1000,14092,0
BLIND (no control),213.6,0.0,0.515,10000000,21138,1000,14092,0
BLIND (no control),221.9,0.0,0.514,10000000,21138,1000,14092,0
BLIND (no control),198.4,0.0,0.582,10000000,21138,1000,14092,0
BLIND (no control),211.7,0.0,0.506,10000000,21138,1000,14092,0
BLIND (no control),203.6,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),198.4,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),199.2,0.0,0.554,10000000,21138,1000,14092,0
